GP,WinPer,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,+/-,year
82,58.5,48.4,38.1,81.7,10,26.2,16.5,21.2,8.7,31.8,40.6,25.7,14.2,9.1,4.6,4.9,17.8,19.6,102.5,5.4,2015
82,58.5,48.2,38.9,87.9,8,24.6,15.4,20.5,11.1,32.7,43.8,24.5,13.8,8.2,3.6,5.3,21.2,18.8,101.4,0.2,2015
82,25.6,48.2,37.4,83,6.6,19.9,16.6,22.2,10.3,32,42.4,20.9,13.8,7,4.1,4.5,19.3,20,98,-2.9,2015
82,58.5,48.4,35.5,84.5,6.1,19.1,17,22.8,10,34.1,44.1,20.2,11.9,6.1,5.5,5.4,18.2,20.8,94.2,-3.2,2015
82,51.2,48.5,36.6,82.9,7.9,22.3,19.7,25.2,11.7,34,45.7,21.7,14,6.3,5.8,5.4,18.2,21.2,100.8,3,2015
82,69.5,48.4,37.7,82.2,10.1,27.5,17.7,23.6,11.1,31.9,43,22.1,14.3,7.4,4.1,4.5,18.4,20.5,103.1,4.5,2015
82,51.2,48.8,39.7,85.8,8.9,25.4,16.9,22.5,10.5,31.8,42.3,22.5,13,8.1,4.5,3.8,20,22.1,105.2,2.9,2015
82,40.2,48.4,37.8,87.3,8,24.8,17.8,24.3,12.3,32.4,44.7,21.8,14.2,7.8,4.5,6.1,23,20.7,101.5,-3.5,2015
82,53.7,48.5,37.1,85.8,8.6,24.9,15.8,22.4,12.8,32.1,44.9,21.6,13.4,7.6,4.7,4.8,19,19.3,98.5,-1,2015
82,89,48.5,41.6,87,10.8,27,16,20.8,10.4,34.3,44.7,27.4,14.5,9.3,6,3.6,19.9,18.8,110,10.1,2015
82,50,48.4,37,83.3,11.4,32.7,18.6,26,11.7,32,43.7,22.2,16.7,9.5,5,5.3,22,21.1,103.9,3.4,2015
82,54.9,48.5,36.6,83.2,7.5,21.2,16.7,22.2,10.4,34.4,44.9,21.4,14,6.2,4.6,4.7,21.2,21.4,97.3,0.3,2015
82,64.6,48.4,39.4,83.3,10.1,26.9,17.9,25.2,9.6,33.1,42.6,24.8,12.3,7.8,5,3,21.3,21.5,106.7,6.6,2015
82,20.7,48.1,37.2,85.6,6.5,18.9,17.5,23.6,11.6,32.3,43.9,20.9,13.2,7,4.5,4.8,21.2,19.4,98.5,-6.8,2015
82,51.2,48.4,37.8,82.5,5.2,15.2,17.6,22.8,10.4,32.1,42.6,21.7,13.3,8.5,4.2,5.2,19.1,20.3,98.3,3.2,2015
82,58.5,48.4,35.2,77.2,6.8,20.2,17.5,23.7,9.1,30,39.1,19.8,14.8,7.8,4.5,4.4,20,20.9,94.7,-2.6,2015
82,40.2,48.4,37.6,82,6.6,18.3,16,21.1,10.7,31.4,42.1,23.6,16.7,9.6,4.9,4.8,22.1,20.1,97.8,0.4,2015
82,35.4,48.5,36.4,83.2,5,14.9,20,25.7,11.6,29.3,40.9,21.6,15,8.1,4,5.5,19.2,21.4,97.8,-8.8,2015
82,36.6,48.2,37.9,82.9,7.1,19.3,16.4,21.8,11.5,32,43.5,22,13.3,6.7,6.2,5.8,18.7,18.7,99.4,0.8,2015
82,39,48.3,35.1,82,6.8,19.7,14.8,19.2,10.6,29.8,40.4,21.3,14.7,7,4.7,4.3,21.6,19.1,91.9,-9.3,2015
82,67.1,48.4,38.8,86.8,7.7,22.7,18.6,24.6,12.8,34.7,47.5,20.5,14.7,7.3,5.5,4.6,22.3,20.4,104,2.2,2015
82,42.7,48.5,37.5,82.8,6.8,19.5,13.9,19.1,10,31.8,41.8,20.6,14.9,7.9,3.8,5.4,20.9,17.9,95.7,-5.7,2015
82,12.2,48.3,33.7,82.6,8.4,26.3,16.1,23.8,11.9,30.9,42.9,20.5,17.7,9.6,5.9,5.5,21.7,20.2,92,-9,2015
82,28,48.1,38.8,85.8,8.5,25,16.4,21.5,10.9,32.2,43.2,20.2,15.1,8.5,4.7,4.1,21.3,20.3,102.4,-0.9,2015
82,53.7,48.3,38.7,86,9.8,27.2,15.5,19.4,10.7,35.1,45.9,21.9,13.6,6.4,4.5,3.6,18.2,18.7,102.8,4.2,2015
82,40.2,48.3,36.7,80.7,5.6,16.5,22.3,29.3,10.9,33.3,44.2,20.3,16.3,6.7,4,6.2,20.7,23.9,101.3,-3.7,2015
82,81.7,48.1,39.1,83.6,8.3,22.5,16.7,21.4,9.8,33.8,43.6,24.4,14,8,5.4,4.4,19.1,19.7,103.2,6.2,2015
82,68.3,48.2,37.9,83.3,8.9,25.1,19.3,24.6,10.7,30.8,41.5,20.7,12.9,7.5,4.4,5,20.9,20.3,104,3.1,2015
82,48.8,48.7,35.4,79.2,7.4,21.7,17,23.5,12,31.9,44,19.9,15.3,7.6,6,4.7,19.3,19.6,95.1,0.2,2015
82,50,48.2,38.3,82.8,6.1,16.8,15.9,21.4,10.5,34.2,44.7,24,15,7.3,4.6,4.3,20.8,19.6,98.5,0.7,2015
82,73.2,48.1,37.3,81.6,9.4,25.8,17,21.7,8.7,31.3,40,24.9,15.3,8.3,4,4.3,19.2,20,101,-0.5,2014
82,48.8,48.5,36.5,83.9,7,21.1,16.2,20.8,12,30.5,42.5,21,15.4,7.1,4.2,4.5,21.3,19.1,96.2,-4.5,2014
82,46.3,48.6,35.7,77.9,8.6,23.4,18.4,24.4,8.8,29.4,38.1,20.9,14.5,8.6,3.8,4.1,21.7,20.8,98.5,-1,2014
82,40.2,48.5,36.3,82.1,6.3,17.9,18,24.4,9.5,33.2,42.7,21.7,12.3,6.1,5.1,5.1,18.2,20.9,96.9,-0.2,2014
82,61,48.5,34.7,80.2,6.2,17.8,18.1,23.3,11.4,32.7,44.1,22.7,14.9,7.2,5.2,6,19.1,20.9,93.7,1.9,2014
82,64.6,48.2,37,84.8,7.1,20,17,22.7,12.1,32.1,44.1,21.2,14.2,7.1,3.7,5.6,20,19.5,98.2,-3.3,2014
82,61,48.5,39.6,83.6,8.8,22.9,16.8,21.1,10.2,30.7,40.9,23.6,13.5,8.6,4.3,3.5,20,19.9,104.8,2.4,2014
82,36.6,48.5,38.4,85.9,8.6,23.9,19.1,26.3,12.3,33.1,45.4,22.4,15.9,7.5,5.6,5.6,23,21.7,104.4,-2.1,2014
82,39,48.4,38.8,86.9,6.2,19.3,17.3,25.7,14.6,30.8,45.4,20.9,14.5,8.4,4.8,4.9,20.3,20.7,101,-3.7,2014
82,81.7,48.1,39.5,85.4,9.4,24.8,15.9,21.1,10.9,34.4,45.3,23.3,15.2,7.8,5,4.2,21.8,19.3,104.3,4.8,2014
82,68.3,48.3,38,80.5,9.5,26.6,22.1,31.1,11.2,34.1,45.3,21.4,16.1,7.6,5.6,5.6,20.4,24.3,107.7,4.6,2014
82,46.3,48.4,36,80.2,6.7,18.8,18.1,23.3,10.2,34.5,44.7,20.1,15.1,6.7,5.4,4.6,20.4,21.9,96.7,4.4,2014
82,68.3,48.1,39.1,82.5,8.5,24,21.2,29.1,10.5,32.5,43,24.6,13.9,8.6,4.8,3.5,21.5,23.4,107.9,7,2014
82,25.6,48.6,38.3,85.1,9.4,24.8,17,22.4,9.1,32,41,24.5,15.1,7.5,5.4,4.7,19.8,19.3,103,-6.3,2014
82,67.1,48.5,38.1,82,4.9,14,15.1,20.3,11.6,30.8,42.4,21.9,13.7,7.7,4.6,5,19.1,18.9,96.1,1.6,2014
82,45.1,48.1,38.3,76.5,8.1,22.3,17.5,23,7.6,29.2,36.9,22.5,14.8,8.9,4.5,3.1,19.5,20.4,102.2,4.8,2014
82,50,48.6,36,82.2,6.7,18.9,16.8,22.5,11.8,29.3,41.1,21.5,15.1,6.6,4.9,5,20.9,20.6,95.5,-8.2,2014
82,19.5,48.3,38.9,87.5,7.3,21.4,21.8,28.1,12.5,32.2,44.7,23.9,13.9,8.8,3.6,5.6,18.3,23.6,106.9,2.7,2014
82,54.9,48.2,37.8,82.5,5.9,15.9,18.2,23.6,11.4,30.3,41.7,21.3,13.8,7.9,6.4,6.1,22.6,20.3,99.7,-2.7,2014
82,20.7,48.4,36.9,82.2,9.3,24.9,15.5,20.4,10.6,29.7,40.3,20,13,7.7,4.5,3.4,22.1,19.6,98.6,-0.8,2014
82,54.9,48.4,39,82.7,8.1,22.4,20.2,25,10.8,33.9,44.7,21.9,15.3,8.3,6.1,3.6,22.7,20.4,106.2,6.3,2014
82,30.5,48.2,36.9,82.7,6.9,19.5,15.9,20.9,9.7,32.4,42,21,14.9,7.7,4.3,5.4,20.5,18.3,96.5,-5.4,2014
82,22,48.3,37.9,87.2,7,22.5,16.6,23.4,11.6,31.2,42.7,21.8,16.9,9.3,4,6.8,22.5,20.6,99.5,-10.5,2014
82,47.6,48.5,38.7,83.5,9.3,25.1,18.5,24.4,11.3,31.7,43,19.1,15.3,8.4,4.6,4,21.9,21.3,105.2,2.6,2014
